comments,date
"Pain Hustlers is an opioid rendition of the Wolf of Wall Street by the way of The Big Short which means it's a really entertaining true story with a clear purpose but it's also really hard to deny that it took the safest and most boring approach to telling such an important story, drowning out the more serious aspects in favour of something more generic.Emily Blunt is great, the film wants you to genuinely care about her despite the flaws and it's her skill that actually makes that happen. Chris Evans continues to get as far away from Captain America as humanly possible with another undemanding yet enjoyable irredeemable asshole.It's so nice to see director David Yates finally break free of the Harry Potter franchise with something so different, even if the newfound style here is derivative and remains fairly desaturated. The needle drops are used the right amount, they work well even if some of them are incredibly obvious song choices.",2023-10-27
"First off, it's not like the pain killer shows from Netflix and Hulu, different drug. Secondly, I don't understand why people are hating on the movie. Story line is great, acting is great and it's an interesting story based on true events. Not sure what else you really need in a film to make it at a bare minimum enjoyable.Saw a review said ""it's not cool for a kid to start a forest fire."" As that statement is true, the movie didn't make it cool n it's literally 7seconds of the film. Or someone else was comparing it to a Scorsese film? Lol I guess having music and interesting story makes that true? People are so sensitive and just can't enjoy a movie.",2023-10-27
"Like some other posters I am at a loss to discern why this got poor reviews. It's well made, has a great cast and is a pertinent moral tale. Blunt is the star of course and she carries the film along with Chris Evans. Based on a true story it exposes the corruption in the pharmaceutical industry that fosters greed and profit over the actual health of America's citizens. Once Blunt's character, her fellow sales people and all the immoral doctors involved in prescribing pain meds get hooked on huge payouts, no one cares about the damaged lives that resulted. It's very entertaining and very sobering and justice prevails.",2023-10-29
"I saw this movie as a parody through the language, the visuals, the clothes. Everything. It was a parody about what happened to a company that had a great thing, but!!! As always. Someone wanted more. MUCH more. So they figured out a way to crack the system, and flush a really good thing for one group, down the proverbial toilet. Only this time, some top people actually went to prison for their illegal and immoral actions.What a concept!The fact is that these people were odd. LIza was a stripper who had no degrees - and, yes, a heart of gold. She had the street smarts that were needed and Dr. Neel saw that and he was smart enough to take advantage of it rather than sticking to the bs of ""Must have a degree"". Give me street smarts any day.It's an interesting, fast flick with a great group of actors who never slow down to let you keep up. That's up to you.So, get that bowl of movie salad ready - and enjoy the ride!",2023-10-27
"I found the movie to be very watchable & more realistic than given credit for in other reviews. It's easy to dislike a character whose behavior is unprincipled & likely to harm others, as in the case of all the main players in this film. But in doing so, you ignore the fact that people are complex, usually not all good or all bad. Circumstances can dictate behavior & should be taken into account. Liza Drake wasn't a bad person. She was a smart, desperate person looking for a way out of her dead end job & seized an opportunity that looked promising initially. Pete was more comfortable behaving unscrupulously. I think both Emily Blunt & Chris Evans brought their characters to life in a realistic way. I also feel like Liza Drake was a good mother. The reviewer who was offended by Liza's response to her daughter's fire starting was a minor incident in the story. I found the movie to be quite interesting, as well as a decent portrayal of the pharmaceutical industry. You can't ignore the headlines of the last several years.",2023-10-27
"Performances of the main leads (Emily Blunt and Chris Evans) were good , their chemistry was okay. Story line was also okay. Though I do get why some people would give this movie a bad ratings. However in my own opinion, I found the movie to be interesting since it was base on real life story and a good reflection on people's never-ending desires for success.If you ask me if it's worthy to watch or not, I'd say it is. We all have various standards about what a good movie should be like, therefore I'd suggest ""give it a try"". If you've read terrible reviews don't mind it ,that doesn't accurately reflect the entire movie.",2023-10-27
"I have watched the docs on the Sackler Family and their horrendous responsibility of hiring young women to pimp out drugs to doctors and clinics causing the deaths of millions. Still in court I believe with a huge settlement on the horizon.Emily Blunt and Catherine O'Hara are a feast of good acting and the supporting cast are excellent.I am familiar with the story line but here it is told from the point of view of one salesperson (they were all attractive, sexy drug pushers) hauled into the marketing by force of her poverty and inability to make ends meet.The story unwinds well and a story of rags to riches to rags is always entertaining.8/10.",2023-10-30
"I was busting my brain to try and remember where have I seen the same pharmaceutical sales and bribes and couldn't remember. So, WOWS (""Wolf of Wall Street"") it is, from the point of comparison, but it still meets with the other movie I can't seem find in my private memory lane.Emily Blunt's character and beginning of story are more or less the same, almost until the final act of the plot, but rather different in some ways. Blunt's Liza Drake is motivated to break her poverty cycle and wants to give better life to her daughter so she hustles with a pain killer, which she believes can do good for the pain of people with cancer.The directing of David Yates (who got his fame from directing half of ""Harry Potter"" films and then plunged down with directing all of ""Fantastic Beasts"" trilogy) is no different or special then other movies which are based on a true, ecstatic-rise from the gutters story. He is telling a story and the narrative is of his protagonist, which is also an antagonist for some of the time.The cast is phenomenal and Blunt leads in a spectacular way. Its fun watching Evens become a swearing dick and not the polished and shiny Captain America. Andy Garcia is stoic and good and it was nice to meet, once again, Catherine O'Hara (which her face is so recognized with 90's movies, such as: ""Beetlejuice"" and Kevin's mom from ""Home Alone"").The grade until now is not flattering and the fact it is a Netflix production, which includes two mega stars - all are pointing it is going to be a flop and a failure, but the fact I was not interested to know the time or how much time is left sets this one as a successful big N production.",2023-10-28
"In style & content, inspired-by-truth pharma-scandal drama ""Pain Hustlers"" feels like it's been made many times before. Struggling single-mum Emily Blunt (daughter of Catherine O'Hara) takes a low-level sales job in Chris Evans, Andy Garcia, Amit Shah & Jay Duplass' small pain-drug company, which she saves from closure, then turns into a massive overnight success via dubious, immoral & ultimately illegal methods of 'recruiting' doctors to write scripts & bump up prescriptions. It's polished (by fine blockbuster director David Yates) but the Wells Tower screenplay and Blunt & Evans performances are tired. Big Pharma sucks - ok Hollywood, we got the memo, enough.",2023-10-30
This Move is a solid 8 if not a 9.The acting is solid.The story is solid.I was thoroughly entertained throughout the movie.Emily Blunt is adorable as The Rookie drug rep.Chris Evans plays a blinder as the dodgy Drug Executive.The fact that this is a true story is really frightening.It's even more frightening when you realise that Fentanyl is still available and widely used as is oxycontin.I never cease to be amazed at the tolerance The World has for The pharmaceutical Industry.This move shows just how little regard they have for the rest of us.I would highly recommend this Movie for all all and I've no idea why there is much hate being thrown at it .Maybe the hate is being sponsored by someone??????,2023-10-28
